eta,score,coverage_target,selective_risk
0.1,predictive_entropy,0.8,0.055125
0.1,vacuity,0.8,0.05575
0.1,dissonance,0.8,0.097375
0.1,resolution_ratio_r,0.8,0.05575
0.1,projected_entropy_beta_0p1,0.8,0.12975
0.1,projected_entropy_beta_0p5,0.8,0.05525
0.1,projected_entropy_beta_0p75,0.8,0.0555
0.1,pair_r_hcont_logistic_probe,0.8,0.105125
0.3,predictive_entropy,0.8,0.2135
0.3,vacuity,0.8,0.2135
0.3,dissonance,0.8,0.276
0.3,resolution_ratio_r,0.8,0.2135
0.3,projected_entropy_beta_0p1,0.8,0.30625
0.3,projected_entropy_beta_0p5,0.8,0.214125
0.3,projected_entropy_beta_0p75,0.8,0.21725
0.3,pair_r_hcont_logistic_probe,0.8,0.25675
0.5,predictive_entropy,0.8,0.432375
0.5,vacuity,0.8,0.432375
0.5,dissonance,0.8,0.47475
0.5,resolution_ratio_r,0.8,0.432375
0.5,projected_entropy_beta_0p1,0.8,0.492125
0.5,projected_entropy_beta_0p5,0.8,0.433
0.5,projected_entropy_beta_0p75,0.8,0.4365
0.5,pair_r_hcont_logistic_probe,0.8,0.449375
